#	姓名	英文名	生卒	主导职业	研究领域	奖项	标签
1	David Hilbert	David Hilbert		数学家	Hilbert space；geometry；mathematical analysis；mathematical logic；mathematical physics；mathematics；number theory		20世纪数学的总架构师
2	Henri Poincaré	Henri Poincaré		数学家	algebraic geometry；algebraic topology；analytic function；astronomy；celestial mechanics；geometry；mathematical analysis；mathematical physics；mathematics；mechanics；philosophy；principle of relativity；theoretical physics；topology		现代数学最后一位真正的全领域巨匠
3	John von Neumann	John von Neumann		数学家	cellular automaton；functional analysis；game theory；informatics；mathematics；nuclear bomb；operator theory；physics；quantum physics；set theory		数学 × 物理 × 计算机之间的超级枢纽
4	Emmy Noether	Emmy Noether		数学家	abstract algebra；algebra；field theory；mathematical physics；mathematics；theoretical physics		现代抽象代数与数学物理的核心奠基者
5	Andrey Kolmogorov	Andrey Kolmogorov		数学家	Fourier series；computational complexity theory；computational linguistics；differential calculus；functional analysis；geometry；logic；mathematical logic；mathematical statistics；mathematics；measure theory；mechanics；philosophy of mathematics；probability theory；set theory；topology；turbulence；turbulent flow	沃尔夫数学奖 1980	概率论公理化、动力系统、信息论等多个领域的奠基者
6	Hermann Weyl	Hermann Weyl		数学家	differential geometry；group theory；mathematics；number theory；philosophy；philosophy of mathematics；quantum mechanics；theoretical physics；theory of relativity		几何、分析、群论、物理的超级连接者
7	Alexander Grothendieck	Alexander Grothendieck		数学家	algebraic geometry；category theory；functional analysis；homological algebra；mathematics；topology	菲尔兹奖 1966	重新定义代数几何语言的数学家
8	André Weil	André Weil		数学家	algebraic geometry；mathematics；number theory	沃尔夫数学奖 1979	现代数论与代数几何的核心建筑师
9	Alan Turing	Alan Turing		数学家	computer science；cryptanalysis；cryptography；logic；mathematics		可计算性与计算理论革命的奠基者
10	Kurt Gödel	Kurt Gödel		数学家	analytic philosophy；logic；mathematical logic；mathematics；philosophy；philosophy of mathematics；physics；predicate logic；set theory；theory of relativity		改变数学基础与逻辑边界的人
11	Stefan Banach	Stefan Banach		数学家	Banach space；functional analysis；integral；mathematics；measure theory；set theory；topology		现代泛函分析的奠基者之一
12	J.-P. Serre	J.-P. Serre		数学家	algebra；algebraic geometry；algebraic number theory；algebraic topology；mathematics；number theory；topology	菲尔兹奖 1954；沃尔夫数学奖 2000；阿贝尔奖 2003	连接代数、拓扑、几何、数论的桥梁
13	Emil Artin	Emil Artin		数学家	abstract algebra；algebra；algebraic number theory；class field theory；mathematics；ring		现代代数与数论的核心人物
14	Henri Lebesgue	Henri Lebesgue		数学家	Lebesgue integration；Lp space；calculus；functional analysis；mathematical analysis；mathematics；measure theory；topology		现代实分析的基础设施建设者
15	Élie Cartan	Élie Cartan		数学家	Lie group theory；differential geometry；geometry		现代微分几何与李群理论的奠基者
16	Felix Hausdorff	Felix Hausdorff		数学家	topology		拓扑、集合论与现代分析基础的重要架构师
17	Laurent Schwartz	Laurent Schwartz		数学家	distribution；distribution theory；mathematics	菲尔兹奖 1950	分布理论改变现代 PDE 和分析
18	John Milnor	John Milnor		数学家	K-theory；differential topology；dynamical systems；exotic sphere；mathematics；topology	菲尔兹奖 1962；沃尔夫数学奖 1989；阿贝尔奖 2011	现代拓扑与微分拓扑的革命者
19	Michael Atiyah	Michael Atiyah		数学家	geometry；mathematics；topology	菲尔兹奖 1966；阿贝尔奖 2004	指标定理、K-理论，几何与分析的深度统一
20	William Thurston	William Thurston		数学家	mathematics；topology	菲尔兹奖 1982	低维拓扑革命、几何化猜想
21	G.H. Hardy	G.H. Hardy		数学家	calculus；mathematical analysis；mathematics；number theory；pure mathematics		解析数论与分析学派领袖、Ramanujan 的伯乐、英国数学的改革者
22	J.E. Littlewood	J.E. Littlewood		数学家	calculus；mathematical analysis；mathematics；number theory；theory of differential equations		π(x) 无穷振荡·Littlewood–Paley 调和分析·与 Hardy 并称的解析数论大师
23	L.E.J. Brouwer	L.E.J. Brouwer		数学家	complex analysis；mathematical analysis；mathematical logic；measure；set theory；topology		现代拓扑学的奠基人之一、直觉主义革命的发起者、Brouwer–Hilbert 论战
24	Oscar Zariski	Oscar Zariski		数学家	algebraic geometry；mathematics	沃尔夫数学奖 1981	Zariski 拓扑的创立者、代数几何的代数化先驱、意大利学派的超越者
25	Marston Morse	Marston Morse		数学家	calculus of variations；differential topology；mathematics；topology		Morse 理论的创立者、临界点与拓扑的诗人、微分拓扑的建筑师
26	Hassler Whitney	Hassler Whitney		数学家	graph theory；mathematical singularity；mathematics；matroid theory；singularity theory；topology	沃尔夫数学奖 1982	微分拓扑的开山鼻祖、嵌入定理与Stiefel–Whitney类的创立者、奇点分类的先驱
27	Claude Chevalley	Claude Chevalley		数学家	algebra；mathematics		Chevalley 群的构造者、Bourbaki 创始成员、有限单群分类的基石奠基人
28	Heinz Hopf	Heinz Hopf		数学家	algebraic topology；differential geometry；geometry；mathematics；topology		Hopf 纤维化与不变量的发现者、Poincaré–Hopf 定理的证明者、ETH 拓扑学派的缔造者
29	陈省身	陈省身		数学家	differential geometry；mathematics；topology	沃尔夫数学奖 1983	整体微分几何之父、Chern 类与Chern–Simons理论的创立者、南开数学研究所与MSRI的创始人
30	Pierre Deligne	Pierre Deligne		数学家	algebraic geometry；mathematics；number theory	菲尔兹奖 1978；沃尔夫数学奖 2008；阿贝尔奖 2013	Weil 猜想的证明者、Grothendieck 的火炬手、Fields+Wolf+Abel 三冠王
