#	姓名	英文名	生卒	主导职业	研究领域	奖项	标签
1	David Hilbert	David Hilbert		数学家	geometry；Hilbert space；mathematical analysis；mathematical logic；mathematical physics；mathematics；number theory		20世纪数学的总架构师
2	Henri Poincaré	Henri Poincaré		数学家	algebraic geometry；algebraic topology；analytic function；astronomy；celestial mechanics；geometry；mathematical analysis；mathematical physics；mathematics；mechanics；philosophy；principle of relativity；theoretical physics；topology		现代数学最后一位真正的全领域巨匠
3	John von Neumann	John von Neumann		数学家	cellular automaton；functional analysis；game theory；informatics；mathematics；nuclear bomb；operator theory；physics；quantum physics；set theory		数学 × 物理 × 计算机之间的超级枢纽
4	Emmy Noether	Emmy Noether		数学家	abstract algebra；algebra；field theory；mathematical physics；mathematics；theoretical physics		现代抽象代数与数学物理的核心奠基者
5	Andrey Kolmogorov	Andrey Kolmogorov	1903–1987	数学家	computational complexity theory；computational linguistics；differential calculus；Fourier series；functional analysis；geometry；logic；mathematical logic；mathematical statistics；mathematics；measure theory；mechanics；philosophy of mathematics；probability theory；set theory；topology；turbulence；turbulent flow	沃尔夫数学奖 1980	概率论公理化、动力系统、信息论等多个领域的奠基者
6	Hermann Weyl	Hermann Weyl		数学家	differential geometry；group theory；mathematics；number theory；philosophy；philosophy of mathematics；quantum mechanics；theoretical physics；theory of relativity		几何、分析、群论、物理的超级连接者
7	Alexander Grothendieck	Alexander Grothendieck	1928–2014	数学家	algebraic geometry；category theory；functional analysis；homological algebra；mathematics；topology	菲尔兹奖 1966	重新定义代数几何语言的数学家
8	André Weil	André Weil	1906–1998	数学家	algebraic geometry；mathematics；number theory	沃尔夫数学奖 1979	现代数论与代数几何的核心建筑师
9	Alan Turing	Alan Turing		数学家	computer science；cryptanalysis；cryptography；logic；mathematics		可计算性与计算理论革命的奠基者
10	Kurt Gödel	Kurt Gödel		数学家	analytic philosophy；logic；mathematical logic；mathematics；philosophy；philosophy of mathematics；physics；predicate logic；set theory；theory of relativity		改变数学基础与逻辑边界的人
11	Stefan Banach	Stefan Banach		数学家	Banach space；functional analysis；integral；mathematics；measure theory；set theory；topology		现代泛函分析的奠基者之一
12	J.-P. Serre	J.-P. Serre	1926–?	数学家	algebra；algebraic geometry；algebraic number theory；algebraic topology；mathematics；number theory；topology	菲尔兹奖 1954；沃尔夫数学奖 2000；阿贝尔奖 2003	连接代数、拓扑、几何、数论的桥梁
13	Emil Artin	Emil Artin		数学家	abstract algebra；algebra；algebraic number theory；class field theory；mathematics；ring		现代代数与数论的核心人物
14	Henri Lebesgue	Henri Lebesgue		数学家	calculus；functional analysis；Lebesgue integration；Lp space；mathematical analysis；mathematics；measure theory；topology		现代实分析的基础设施建设者
15	Élie Cartan	Élie Cartan		数学家	differential geometry；geometry；Lie group theory		现代微分几何与李群理论的奠基者
16	Felix Hausdorff	Felix Hausdorff		数学家	topology		拓扑、集合论与现代分析基础的重要架构师
17	Laurent Schwartz	Laurent Schwartz	1915–2002	数学家	distribution；distribution theory；mathematics	菲尔兹奖 1950	分布理论改变现代 PDE 和分析
18	John Milnor	John Milnor	1931–?	数学家	differential topology；dynamical systems；exotic sphere；K-theory；mathematics；topology	菲尔兹奖 1962；沃尔夫数学奖 1989；阿贝尔奖 2011	现代拓扑与微分拓扑的革命者
19	Michael Atiyah	Michael Atiyah	1929–2019	数学家	geometry；mathematics；topology	菲尔兹奖 1966；阿贝尔奖 2004	指标定理、K-理论，几何与分析的深度统一
20	William Thurston	William Thurston	1946–2012	数学家	mathematics；topology	菲尔兹奖 1982	低维拓扑革命、几何化猜想
21	G.H. Hardy	G.H. Hardy		数学家	calculus；mathematical analysis；mathematics；number theory；pure mathematics		解析数论与分析学派领袖、Ramanujan 的伯乐、英国数学的改革者
22	J.E. Littlewood	J.E. Littlewood		数学家	calculus；mathematical analysis；mathematics；number theory；theory of differential equations		π(x) 无穷振荡·Littlewood–Paley 调和分析·与 Hardy 并称的解析数论大师
23	L.E.J. Brouwer	L.E.J. Brouwer		数学家	complex analysis；mathematical analysis；mathematical logic；measure；set theory；topology		现代拓扑学的奠基人之一、直觉主义革命的发起者、Brouwer–Hilbert 论战
24	Oscar Zariski	Oscar Zariski	1899–1986	数学家	algebraic geometry；mathematics	沃尔夫数学奖 1981	Zariski 拓扑的创立者、代数几何的代数化先驱、意大利学派的超越者
25	Marston Morse	Marston Morse		数学家	calculus of variations；differential topology；mathematics；topology		Morse 理论的创立者、临界点与拓扑的诗人、微分拓扑的建筑师
26	Hassler Whitney	Hassler Whitney	1907–1989	数学家	graph theory；mathematical singularity；mathematics；matroid theory；singularity theory；topology	沃尔夫数学奖 1982	微分拓扑的开山鼻祖、嵌入定理与Stiefel–Whitney类的创立者、奇点分类的先驱
27	Claude Chevalley	Claude Chevalley		数学家	algebra；mathematics		Chevalley 群的构造者、Bourbaki 创始成员、有限单群分类的基石奠基人
28	Heinz Hopf	Heinz Hopf		数学家	algebraic topology；differential geometry；geometry；mathematics；topology		Hopf 纤维化与不变量的发现者、Poincaré–Hopf 定理的证明者、ETH 拓扑学派的缔造者
29	陈省身	陈省身	1911–2004	数学家	differential geometry；mathematics；topology	沃尔夫数学奖 1983	整体微分几何之父、Chern 类与Chern–Simons理论的创立者、南开数学研究所与MSRI的创始人
30	Pierre Deligne	Pierre Deligne	1944–?	数学家	algebraic geometry；mathematics；number theory	菲尔兹奖 1978；沃尔夫数学奖 2008；阿贝尔奖 2013	Weil 猜想的证明者、Grothendieck 的火炬手、Fields+Wolf+Abel 三冠王
31	Ernst Witt	Ernst Witt		数学家	mathematics		Witt 环与Witt向量的创造者、PBW 定理的 W、二次型理论的代数大师
32	R.A. Fisher	R.A. Fisher		数学家	genetics；statistics		现代统计学的数学奠基人、极大似然估计与方差分析的创立者、实验设计之父
33	Claude Shannon	Claude Shannon		数学家	cryptography；cybernetics；electrical engineering；information theory；probability theory		信息论之父、通信数学的创立者、信息时代的理论奠基人
34	Igor Shafarevich	Igor Shafarevich		数学家	algebra；algebraic geometry；dissent；Galois theory；history of socialism；mathematics；number theory		代数数论与代数几何的苏联支柱、Shafarevich群的创立者、莫斯科学派的守护者
35	Vladimir Arnold	Vladimir Arnold	1937–2010	数学家	algebraic geometry；chaos theory；differential calculus；dynamical systems；mathematical analysis；mathematics；mechanics；topology	沃尔夫数学奖 2001	KAM理论与辛拓扑的创立者之一、动力系统与奇点理论的革命者、Arnold扩散的发现者
36	David Mumford	David Mumford	1937–?	数学家	algebraic geometry	菲尔兹奖 1974；沃尔夫数学奖 2008	Fields奖得主、几何不变量理论与模空间的创立者、代数几何与计算机视觉的跨界先驱
37	Jean Leray	Jean Leray	1906–1998	数学家	mathematical analysis；partial differential equation；topology	沃尔夫数学奖 1979	谱序列与层论的发现者、Leray–Schauder不动点理论、偏微分拓扑的先驱
38	Samuel Eilenberg	Samuel Eilenberg	1913–1998	数学家	collecting；mathematics；topology；visual arts	沃尔夫数学奖 1986	范畴论与代数拓扑的共同创始人、Eilenberg–MacLane空间的创立者、同调代数的奠基人
39	Saunders Mac Lane	Saunders Mac Lane		数学家	abstract algebra；algebra；category theory；cohomology；mathematics		范畴论的共同创始人、同调代数系统化的缔造者、《范畴论工作者》的作者
40	Atle Selberg	Atle Selberg	1917–2007	数学家	number theory	菲尔兹奖 1950；沃尔夫数学奖 1986	Selberg迹公式的创立者、解析数论的巨人、Fields奖与Abel奖得主
41	Carl Ludwig Siegel	Carl Ludwig Siegel	1896–1981	数学家	celestial mechanics；function theory；mathematics；number theory	沃尔夫数学奖 1978	数论与模形式的巨人、天体力学大师、20世纪最博学的数学家之一
42	Lars Ahlfors	Lars Ahlfors	1907–1996	数学家	complex analysis；function theory；mathematical analysis；mathematics	菲尔兹奖 1936；沃尔夫数学奖 1981	复分析大师、首届Fields奖得主、Ahlfors–Bers理论的创立者
43	Rolf Nevanlinna	Rolf Nevanlinna		数学家	complex analysis；mathematics		Nevanlinna值分布理论的创立者、复分析芬兰学派的领袖、ICMI主席
44	Sergei Sobolev	Sergei Sobolev		数学家	computational mathematics；differential calculus；distribution function；functional analysis；mathematical analysis；mathematical physics；mathematics；partial differential equation；Sobolev space		Sobolev空间的创立者、现代PDE理论的语法奠基人、分布理论的先驱
45	Lars Hörmander	Lars Hörmander	1931–2012	数学家	mathematics；partial differential equation	菲尔兹奖 1962；沃尔夫数学奖 1988	线性偏微分算子理论的集大成者、微局部分析的创立者、Fields奖得主
46	Stephen Smale	Stephen Smale	1930–?	数学家	differential geometry；topology	菲尔兹奖 1966；沃尔夫数学奖 2006	高维Poincaré猜想的证明者、动力系统与经济学数学的先驱、Fields奖得主
47	Mikhail Gromov	Mikhail Gromov	1943–?	数学家	geometry；group theory；topology	沃尔夫数学奖 1993；阿贝尔奖 2009	几何群论的创立者、辛拓扑与度量几何的革命者、Wolf奖与Abel奖得主
48	Harish-Chandra	Harish-Chandra		数学家	harmonic analysis；Lie group；mathematics；physics；representation theory		半单李群表示论的创立者、Harish-Chandra模与Plancherel公式、Langlands纲领的先驱
49	Jacques-Louis Lions	Jacques-Louis Lions		数学家	mathematical analysis；mathematics；numerical analysis；partial differential equation；stochastic process		变分法与偏微分方程的大师、分布控制理论的创立者、法国应用数学的奠基人
50	Vladimir Voevodsky	Vladimir Voevodsky	1966–2017	数学家	algebraic geometry；foundations of mathematics；Galois theory；topology	菲尔兹奖 2002	A1同伦论的创立者、代数簇motivic上同调的构造者、Fields奖得主
51	盖尔范德	I.M. Gelfand	1913–2009	数学家	functional analysis；geometry；mathematical analysis；representation theory	沃尔夫数学奖 1978	泛函分析、表示论、积分几何的超级大师，Gelfand 学派的灵魂人物
52	高木贞治	Takagi Teiji		数学家	number theory		类域论的创立者，Takagi 存在定理——20 世纪数论的最高成就之一
53	小平邦彦	Kodaira Kunihiko	1915–1997	数学家	algebra；algebraic geometry；geometry	菲尔兹奖 1954；沃尔夫数学奖 1984	复流形与代数几何的日本巨匠，Kodaira 消灭定理，Fields 奖
54	莱夫谢茨	Solomon Lefschetz		数学家	algebra；algebraic geometry；geometry；topology		拓扑学方法引入代数几何，普林斯顿数学王朝的缔造者
55	托姆	René Thom	1923–2002	数学家	cobordism theory；singularity theory	菲尔兹奖 1958	配边理论与突变论的创立者，Fields 奖
56	维纳	Norbert Wiener		数学家	applied mathematics；cybernetics；informatics；mathematics；philosophy；probability theory；stochastic process		控制论之父，Wiener 过程——数学向工程与生物扩散的枢纽
57	拉马努金	Srinivasa Ramanujan		数学家	combinatorics；mathematician；number theory		印度天才，mock theta 函数，直觉穿越时代的数学家
58	赫克	Erich Hecke		数学家	number theory；operator theory		Hecke 算子，模形式理论的奠基人，Langlands 纲领的数学源头
59	策梅罗	Ernst Zermelo		数学家	algebra		ZFC 公理体系——现代数学大厦最深层的地基之一
60	闵可夫斯基	Hermann Minkowski		数学家	geometry		数的几何，Minkowski 时空——理论物理的关键数学语言
